NAMN,ÅLDER_PÅ_VALDAGEN,KÖN,PARTIBETECKNING,PARTIFÖRKORTNING
Sara Nilsson,41,K,Liberalerna (tidigare Folkpartiet),L
Reza Bahrani,49,M,Liberalerna (tidigare Folkpartiet),L
Kerstin Pettersson-Brodda,71,K,Liberalerna (tidigare Folkpartiet),L
Åke Andrén-Sandberg,74,M,Liberalerna (tidigare Folkpartiet),L
Christoffer Karlsson,30,M,Liberalerna (tidigare Folkpartiet),L
Charlotte Ramel-Andersson,70,K,Liberalerna (tidigare Folkpartiet),L
Axel Nordberg,33,M,Liberalerna (tidigare Folkpartiet),L
Henrik Silfverstolpe,55,M,Liberalerna (tidigare Folkpartiet),L
Madeleine Arderup,57,K,Miljöpartiet de gröna,MP
David Wittlock,48,M,Miljöpartiet de gröna,MP
Maria Zingmark,41,K,Miljöpartiet de gröna,MP
Lucas Henriksson,23,M,Miljöpartiet de gröna,MP
Ingrid Ascard,67,K,Miljöpartiet de gröna,MP
Ulf Holm,53,M,Miljöpartiet de gröna,MP
Torbjörn Jons,49,M,Miljöpartiet de gröna,MP
Axel Hallberg,23,M,Miljöpartiet de gröna,MP
Emma Nilsson,38,K,Miljöpartiet de gröna,MP
Shahad Lund,34,K,Miljöpartiet de gröna,MP
Kerstin Joäng,73,K,Miljöpartiet de gröna,MP
Göran Gärtner,64,M,Moderaterna,M
Malin Olsson,54,K,Moderaterna,M
Louise Rehn Winsborg,69,K,Moderaterna,M
Andreas Oskarsson,41,M,Moderaterna,M
Ewa Dahl,71,K,Moderaterna,M
Martin C E Asker,45,M,Moderaterna,M
Edmir Mehmeti,20,M,Moderaterna,M
Christer Wallin,64,M,Moderaterna,M
Mavis Zander,42,K,Moderaterna,M
Kevin Sundin,21,M,Moderaterna,M
Louise Meijer,32,K,Moderaterna,M
Patrik Adzievski,23,M,Moderaterna,M
Loubna Stensåker-Göransson,49,K,Moderaterna,M
Charlotte Wannius Falk,48,K,Moderaterna,M
Lars Nordberg,66,M,Moderaterna,M
Birger Swahn,44,M,Moderaterna,M
May Linné,39,K,Moderaterna,M
Alexander Lewerentz,35,M,Moderaterna,M
Kjell-Arne Ohlsson,70,M,Moderaterna,M
Tamas Osvath,72,M,Moderaterna,M
Clifford Härstedt,35,M,Moderaterna,M
Christian Sonesson,42,M,Moderaterna,M
Karl Melin,25,M,Moderaterna,M
Rigel Arvidsson,67,K,Moderaterna,M
Knut Anders Sigander,77,M,Moderaterna,M
Desirée Pettersson,57,K,Moderaterna,M
Lars Olsson,69,M,Moderaterna,M
Ulf Mårtensson,43,M,Moderaterna,M
Emma Köster,35,K,Moderaterna,M
Lars-Ingvar Ljungman,69,M,Moderaterna,M
Amanda Thonander,25,K,Moderaterna,M
Mats Helmfrid,63,M,Moderaterna,M
Sara Vestering,42,K,Moderaterna,M
Sverker Meyer,43,M,Moderaterna,M
Lars Andersson,57,M,Sverigedemokraterna,SD
André Af Geijerstam,36,M,Sverigedemokraterna,SD
Anna Sjöland,54,K,Sverigedemokraterna,SD
Jozefin Nybom,51,K,Sverigedemokraterna,SD
Ronny Johnsson,50,M,Sverigedemokraterna,SD
Åsa Wittenfelt,63,K,Sverigedemokraterna,SD
Lars Nyström,50,M,Sverigedemokraterna,SD
Margit Békássy,47,K,Sverigedemokraterna,SD
Paul Svensson,54,M,Sverigedemokraterna,SD
Laszlo Pataki,56,M,Sverigedemokraterna,SD
Oscar Sedira,24,M,Sverigedemokraterna,SD
Helmuth Petersen,67,M,Sverigedemokraterna,SD
Hanna Gunnarsson,38,K,Vänsterpartiet,V
Lucas Lennartsson,47,M,Vänsterpartiet,V
Helena Falk,37,K,Vänsterpartiet,V
Sven Ternov,76,M,Vänsterpartiet,V
Gunilla Wahlberg,70,K,Vänsterpartiet,V
Ibrahim Kakahama,72,M,Vänsterpartiet,V
Åse Eriksson,59,K,Vänsterpartiet,V
Mats Olsson,65,M,Vänsterpartiet,V
Ingrid Bergh,57,K,Vänsterpartiet,V
Pär Moberg,48,M,Vänsterpartiet,V
Patrik Milton,46,M,Vänsterpartiet,V
Göran Brante,71,M,Vänsterpartiet,V
Vera Pedersen,71,K,Vänsterpartiet,V
Annika Weitner,43,K,Vänsterpartiet,V
Gustavo Garcia,68,M,Vänsterpartiet,V
Sten Axelsson Fisk,32,M,Vänsterpartiet,V
Angelica Svensson,39,K,Vänsterpartiet,V
Mats Sjölin,68,M,Vänsterpartiet,V
Jesper Sahlén,28,M,Vänsterpartiet,V
Sara Svensson,38,K,Vänsterpartiet,V
Anna Wallentheim,37,K,Arbetarepartiet-Socialdemokraterna,S
Torgny Handreck,44,M,Arbetarepartiet-Socialdemokraterna,S
Meta Jarl,38,K,Arbetarepartiet-Socialdemokraterna,S
Ronny Nilsson,53,M,Arbetarepartiet-Socialdemokraterna,S
Therese Larsson Sturesson,39,K,Arbetarepartiet-Socialdemokraterna,S
Miklos Liewehr,60,M,Arbetarepartiet-Socialdemokraterna,S
Kerstin Engle,74,K,Arbetarepartiet-Socialdemokraterna,S
Roger Persson,49,M,Arbetarepartiet-Socialdemokraterna,S
Kristina Lindbåge,38,K,Arbetarepartiet-Socialdemokraterna,S
Thomas Lindell,46,M,Arbetarepartiet-Socialdemokraterna,S
Minette Jansson,29,K,Arbetarepartiet-Socialdemokraterna,S
Per-Arne Håkansson,59,M,Arbetarepartiet-Socialdemokraterna,S
Daniel Landin,49,M,Arbetarepartiet-Socialdemokraterna,S
Jenny Önnevik,46,K,Arbetarepartiet-Socialdemokraterna,S
Patrik Håkansson,33,M,Arbetarepartiet-Socialdemokraterna,S
Sabina Månsson Hultgren,39,K,Arbetarepartiet-Socialdemokraterna,S
Elo Johannesen,62,M,Arbetarepartiet-Socialdemokraterna,S
Ewa Pihl Krabbe,74,K,Arbetarepartiet-Socialdemokraterna,S
Jan Vokoun,58,M,Arbetarepartiet-Socialdemokraterna,S
Marika Bjerstedt,45,K,Arbetarepartiet-Socialdemokraterna,S
Paul Gustafsson,55,M,Arbetarepartiet-Socialdemokraterna,S
Kristin Skoog,51,K,Arbetarepartiet-Socialdemokraterna,S
Fredrik Winberg,46,M,Arbetarepartiet-Socialdemokraterna,S
Jessica Svensson,46,K,Arbetarepartiet-Socialdemokraterna,S
Noah Englesson,23,M,Centerpartiet,C
Lars-Ivar Ericsson,74,M,Centerpartiet,C
Marie Gärdby,48,K,Centerpartiet,C
Diana Broman,46,K,Centerpartiet,C
Jacob Larsson,42,M,Centerpartiet,C
Isac Riddarsparre,29,M,Centerpartiet,C
Tobias Högborg,30,M,Centerpartiet,C
Ulla Ekdahl,67,K,Centerpartiet,C
Olof Lindqvist,53,M,Centerpartiet,C
Lena Holst,58,K,Centerpartiet,C
Anette Westerholm,53,K,Centerpartiet,C
Christian Schanner,33,M,Centerpartiet,C
Magnus Augustsson,49,M,Centerpartiet,C
Jonatan Nyström,20,M,Centerpartiet,C
Annely Silfwerax,61,K,Centerpartiet,C
Gert Friberg,71,M,Centerpartiet,C
Lena Eriksson,51,K,Centerpartiet,C
Anders Larsson,64,M,Centerpartiet,C
Ingrid Karlsson,80,K,Centerpartiet,C
Murat Özbalci,40,M,Centerpartiet,C
Christina Nyström,49,K,Centerpartiet,C
Mårten Nobin,66,M,Centerpartiet,C
Niklas Larsson,34,M,Centerpartiet,C
Linda Böcker Åkerman,32,K,Centerpartiet,C
Anna Ling,40,K,Centerpartiet,C
Rasmus Waak Brunkestam,38,M,Centerpartiet,C
Helene Åkesson,53,K,Liberalerna (tidigare Folkpartiet),L
Mats Lundberg,56,M,Liberalerna (tidigare Folkpartiet),L
Hanna Rogland,48,K,Liberalerna (tidigare Folkpartiet),L
Fredrik Berndt,65,M,Liberalerna (tidigare Folkpartiet),L
Hans J Werner,72,M,Liberalerna (tidigare Folkpartiet),L
Dan Persson,65,M,Liberalerna (tidigare Folkpartiet),L
Pontus Tallberg,67,M,Liberalerna (tidigare Folkpartiet),L
Louise Dock,47,K,Liberalerna (tidigare Folkpartiet),L
Mats Olofsson,51,M,Liberalerna (tidigare Folkpartiet),L
Henny Tillberg,23,K,Liberalerna (tidigare Folkpartiet),L
Kjell Bögvad,68,M,Liberalerna (tidigare Folkpartiet),L
Erling Persson,63,M,Liberalerna (tidigare Folkpartiet),L
Rolf Johansson,68,M,Liberalerna (tidigare Folkpartiet),L
Susanne Bäckman,50,K,Liberalerna (tidigare Folkpartiet),L
Kamilla Danielsson,53,K,Liberalerna (tidigare Folkpartiet),L
Malin Henriksson,45,K,Liberalerna (tidigare Folkpartiet),L
Åsa Holmén,49,K,Liberalerna (tidigare Folkpartiet),L
Radovan Javurek,58,M,Liberalerna (tidigare Folkpartiet),L
Marie Hult,60,K,Liberalerna (tidigare Folkpartiet),L
Josefin Syri,33,K,Miljöpartiet de gröna,MP
Ulf Holmén,72,M,Miljöpartiet de gröna,MP
Thomas Eng,65,M,Miljöpartiet de gröna,MP
Margaret Engdahl,63,K,Miljöpartiet de gröna,MP
Elisabeth Knutsson,70,K,Miljöpartiet de gröna,MP
Beth Melander,75,K,Miljöpartiet de gröna,MP
John Kvarnbäck,50,M,Miljöpartiet de gröna,MP
Thomas Hansson,66,M,Miljöpartiet de gröna,MP
Ida Nilsson,35,K,Miljöpartiet de gröna,MP
Susanne Resmark,58,K,Moderaterna,M
Agneta Normann,75,K,Moderaterna,M
Christian Areskoug,47,M,Moderaterna,M
Kenny Hansson,26,M,Moderaterna,M
Marika Bernadt,64,K,Moderaterna,M
Mustafa Sharif,18,M,Moderaterna,M
Frederick Thott,49,M,Moderaterna,M
Joakim Karlsson,50,M,Moderaterna,M
Mikael Brorsson,56,M,Moderaterna,M
Richard Berggren,47,M,Moderaterna,M
Hans Wallmark,57,M,Moderaterna,M
Peter Rimsby,59,M,Moderaterna,M
Emil Ekstrand,38,M,Moderaterna,M
Sebastian Johansson,34,M,Moderaterna,M
Gösta Sandgren,72,M,Moderaterna,M
Bertil Fredlund,71,M,Moderaterna,M
Rickard Jönsson,55,M,Moderaterna,M
Michael Sempert,37,M,Moderaterna,M
Stephan Tyrling,68,M,Moderaterna,M
Mattias Sandberg,46,M,Moderaterna,M
Lars Johnsson,58,M,Moderaterna,M
Ludvig Ceimertz,30,M,Moderaterna,M
Lynn Thulin,40,K,Moderaterna,M
Christer Akej,66,M,Moderaterna,M
Anette Lantz,49,K,Moderaterna,M
Robin Holmberg,33,M,Moderaterna,M
Per Martin Svensson,55,M,Moderaterna,M
Niclas Nilsson,57,M,Sverigedemokraterna,SD
Therese Borg,45,K,Sverigedemokraterna,SD
Carl Henrik Nilsson,43,M,Sverigedemokraterna,SD
Mimmi Heinegren,49,K,Sverigedemokraterna,SD
Göte Färm,70,M,Sverigedemokraterna,SD
Anton Holmberg,27,M,Sverigedemokraterna,SD
Jonas Mattsson,50,M,Sverigedemokraterna,SD
Åsa Edvardsson,56,K,Sverigedemokraterna,SD
Mikael Christersson,59,M,Sverigedemokraterna,SD
Paul Thurn,56,M,Sverigedemokraterna,SD
Pia Dahlin,54,K,Sverigedemokraterna,SD
Magnus Åkeborn,56,M,Vänsterpartiet,V
Katinka Appelros,38,K,Vänsterpartiet,V
Figge Bergquist,69,M,Vänsterpartiet,V
Lukas Lennartsson,47,M,Vänsterpartiet,V
Ruzica Stanojevic,50,K,Vänsterpartiet,V
Eva Adem,69,K,Vänsterpartiet,V
Samuel Hammerå,34,M,Vänsterpartiet,V
Linnea Bengtsson,22,K,Vänsterpartiet,V
Sarah Levin,45,K,Vänsterpartiet,V
Mona Nihlén,59,K,Vänsterpartiet,V
Mats Sundbeck,68,M,Vänsterpartiet,V
Mikael Persson,51,M,Vänsterpartiet,V
Jennie Nilsson,50,K,Arbetarepartiet-Socialdemokraterna,S
Krister Mattsson,63,M,Arbetarepartiet-Socialdemokraterna,S
Annita Asplid,75,K,Arbetarepartiet-Socialdemokraterna,S
Johan Lindahl,34,M,Arbetarepartiet-Socialdemokraterna,S
Urszula Hansson,45,K,Arbetarepartiet-Socialdemokraterna,S
Per Svensson,39,M,Arbetarepartiet-Socialdemokraterna,S
Lise-Lotte Bensköld Olsson,56,K,Arbetarepartiet-Socialdemokraterna,S
Jonas Strand,48,M,Arbetarepartiet-Socialdemokraterna,S
Miranda Bodiroza,22,K,Arbetarepartiet-Socialdemokraterna,S
Anton Karlsson Rask,21,M,Arbetarepartiet-Socialdemokraterna,S
Maj-Britt Rane Andersson,82,K,Arbetarepartiet-Socialdemokraterna,S
Adnan Dibrani,37,M,Arbetarepartiet-Socialdemokraterna,S
Conny Jönsson,43,M,Arbetarepartiet-Socialdemokraterna,S
Eva Borg,63,K,Arbetarepartiet-Socialdemokraterna,S
Ermin Skoric,38,M,Arbetarepartiet-Socialdemokraterna,S
Jenny Bolgert,42,K,Arbetarepartiet-Socialdemokraterna,S
Magnus Jeppesen,40,M,Arbetarepartiet-Socialdemokraterna,S
Sandra Löberg Erlandsson,36,K,Arbetarepartiet-Socialdemokraterna,S
Lukas Nord,30,M,Arbetarepartiet-Socialdemokraterna,S
Jenny Robertsson,40,K,Arbetarepartiet-Socialdemokraterna,S
Lennart Johansson,65,M,Arbetarepartiet-Socialdemokraterna,S
Fatma Hergül,58,K,Arbetarepartiet-Socialdemokraterna,S
Aida Birinxhiku,23,K,Arbetarepartiet-Socialdemokraterna,S
Arber Gashi,27,M,Arbetarepartiet-Socialdemokraterna,S
Magdalena Sundqvist,50,K,Arbetarepartiet-Socialdemokraterna,S
Ronny Löfquist,47,M,Arbetarepartiet-Socialdemokraterna,S
Therese Stoltz,35,K,Arbetarepartiet-Socialdemokraterna,S
Andreas Engebrethsen,40,M,Arbetarepartiet-Socialdemokraterna,S
Helen Ung Le,37,K,Arbetarepartiet-Socialdemokraterna,S
Jenny Håkansson,41,K,Centerpartiet,C
Maria Larsson,51,K,Centerpartiet,C
Victor Rundqvist,29,M,Centerpartiet,C
Göran Barkevall,76,M,Centerpartiet,C
Angeline Eriksson,29,K,Centerpartiet,C
Henrik Arnesson,52,M,Centerpartiet,C
Anu Majkvist,48,K,Centerpartiet,C
Maria Kollberg,21,K,Centerpartiet,C
Lennart Ohlsson,77,M,Centerpartiet,C
Bengt-Olof Isaksson,61,M,Centerpartiet,C
Lina Brustad,43,K,Centerpartiet,C
John-Wilhelm Pahlm,30,M,Centerpartiet,C
Marie-Helene Bergstrand,48,K,Centerpartiet,C
Maja Lagerstedt,20,K,Centerpartiet,C
Karin Green,59,K,Centerpartiet,C
Claes Claesson,63,M,Centerpartiet,C
Algot Thorin,30,M,Centerpartiet,C
Emma Steinwall,49,K,Centerpartiet,C
Anders Eriksson,45,M,Centerpartiet,C
Gzim Ramadani,35,M,Centerpartiet,C
Anna Roos,44,K,Centerpartiet,C
Erling Cronqvist,64,M,Centerpartiet,C
Charlotte Wennerberg,70,K,Centerpartiet,C
Karl-Gunnar Svensson,65,M,Kristdemokraterna,KD
Jörgen Nilsson,48,M,Kristdemokraterna,KD
John Bladh,23,M,Kristdemokraterna,KD
Sara Unosson,32,K,Kristdemokraterna,KD
Magnus Hedman,50,M,Kristdemokraterna,KD
Helena Nyborg,46,K,Kristdemokraterna,KD
Torbjörn Alexandersson,49,M,Kristdemokraterna,KD
Angela Papai,39,K,Kristdemokraterna,KD
Morgan Börjesson,71,M,Kristdemokraterna,KD
Margareta Chibba,74,K,Kristdemokraterna,KD
Christian Düring,53,M,Kristdemokraterna,KD
Niclas Zander,52,M,Kristdemokraterna,KD
Boris Melvås,46,M,Kristdemokraterna,KD
Marianne Lundh,69,K,Kristdemokraterna,KD
Carina Ejdestig,59,K,Kristdemokraterna,KD
Helene Nilsson,60,K,Kristdemokraterna,KD
Georgia Ferris,40,K,Kristdemokraterna,KD
Karl-Johan Wiktorp,75,M,Liberalerna (tidigare Folkpartiet),L
Inger Brosved,56,K,Liberalerna (tidigare Folkpartiet),L
Gareth Bush,42,M,Liberalerna (tidigare Folkpartiet),L
Stefani Oklöv,29,K,Liberalerna (tidigare Folkpartiet),L
Anders Blomqvist,64,M,Liberalerna (tidigare Folkpartiet),L
Petra Hygrell,47,K,Liberalerna (tidigare Folkpartiet),L
Mats Lindblom,55,M,Liberalerna (tidigare Folkpartiet),L
Tobias Carlsson,54,M,Liberalerna (tidigare Folkpartiet),L
Niclas Bexelius,49,M,Liberalerna (tidigare Folkpartiet),L
Åsa Engberg,52,K,Liberalerna (tidigare Folkpartiet),L
Per Carlsson,41,M,Liberalerna (tidigare Folkpartiet),L
Elin Hysén,39,K,Liberalerna (tidigare Folkpartiet),L
Elvis Begic,41,M,Liberalerna (tidigare Folkpartiet),L
Birgitta Gustafsson,62,K,Liberalerna (tidigare Folkpartiet),L
Filip Zackrisson,29,M,Liberalerna (tidigare Folkpartiet),L
Anki Danielsson,64,K,Liberalerna (tidigare Folkpartiet),L
Monica Neptun,64,K,Liberalerna (tidigare Folkpartiet),L
Markus Kerttu,21,M,Miljöpartiet de gröna,MP
Margareta Lindgren,70,K,Miljöpartiet de gröna,MP
Lennart Lorick,62,M,Miljöpartiet de gröna,MP
Hanne Göransson,31,K,Miljöpartiet de gröna,MP
Björn Wahll,49,M,Miljöpartiet de gröna,MP
Emma Östman,20,K,Miljöpartiet de gröna,MP
Anders Wirdheim,70,M,Miljöpartiet de gröna,MP
Elisabeth Falkhaven,66,K,Miljöpartiet de gröna,MP
Amina Boulaabi,44,K,Miljöpartiet de gröna,MP
Lena Angviken,71,K,Miljöpartiet de gröna,MP
Svein Henriksen,54,M,Miljöpartiet de gröna,MP
Linnea Sandahl,29,K,Miljöpartiet de gröna,MP
Ola Nilsson,53,M,Miljöpartiet de gröna,MP
Ida Westin,32,K,Miljöpartiet de gröna,MP
Filip Berndtsson,26,M,Moderaterna,M
Annika Svensson,44,K,Moderaterna,M
David Sandrén,40,M,Moderaterna,M
Maria Gathendahl,33,K,Moderaterna,M
Leo Rand,20,M,Moderaterna,M
Bengt Kjellgren,52,M,Moderaterna,M
Annika Carlsson,60,K,Moderaterna,M
Carl-Johan Berthilsson,54,M,Moderaterna,M
Houda Axelsson,43,K,Moderaterna,M
Mikaela Waltersson,49,K,Moderaterna,M
Helena Storckenfeldt,27,K,Moderaterna,M
Christofer Lundholm,35,M,Moderaterna,M
Elisabet Babic´,55,K,Moderaterna,M
Håkan Gullberg,63,M,Moderaterna,M
Ninni Gustavsson,62,K,Moderaterna,M
Niclas Nilsson,56,M,Moderaterna,M
Sofia Hansen,54,K,Moderaterna,M
Lisa Andersson,53,K,Moderaterna,M
Håkan Olsson,75,M,Moderaterna,M
Tea Barkman,54,K,Moderaterna,M
Pehr Magnusson,65,M,Moderaterna,M
Ulrika Jörgensen,55,K,Moderaterna,M
Nese Celebioglu,56,K,Moderaterna,M
Emanuel Forsell,34,M,Moderaterna,M
Anne-Maria Smedberg,60,K,Moderaterna,M
Max Ramström,41,M,Moderaterna,M
Eva Weibull Larsson,58,K,Moderaterna,M
Johan Douglas,46,M,Moderaterna,M
Daniel Hognert,42,M,Moderaterna,M
Louise Uvenfeldt,49,K,Moderaterna,M
Christian Johansson,44,M,Moderaterna,M
Jonas Hellsten,50,M,Moderaterna,M
Erland Linjer,74,M,Moderaterna,M
Ardian Mazreku,43,M,Moderaterna,M
Anna Fallkvist,55,K,Moderaterna,M
Erik Hellsborn,38,M,Sverigedemokraterna,SD
Sara-Lena Bjälkö,46,K,Sverigedemokraterna,SD
Peter Berndtson,68,M,Sverigedemokraterna,SD
Lars Larsson,27,M,Sverigedemokraterna,SD
Lars-Göran Jarl,64,M,Sverigedemokraterna,SD
Joacim Svensson,57,M,Sverigedemokraterna,SD
Tommy Bech,71,M,Sverigedemokraterna,SD
Andreas Ahlqvist,48,M,Sverigedemokraterna,SD
Ludvig Andersson,25,M,Sverigedemokraterna,SD
Kerstin Alexén,67,K,Sverigedemokraterna,SD
Rebecka Rapp,22,K,Sverigedemokraterna,SD
Ingmar Rundberg,78,M,Sverigedemokraterna,SD
Jon Thorbjörnson,46,M,Vänsterpartiet,V
Lena Ludvigsson,36,K,Vänsterpartiet,V
Pär Petersson,53,M,Vänsterpartiet,V
Julia Kabell,35,K,Vänsterpartiet,V
Lennart Johnsson,63,M,Vänsterpartiet,V
Ebba Ozolins,26,K,Vänsterpartiet,V
Agnes Bjerregaard,26,K,Vänsterpartiet,V
Bahman Mirtorabi,58,M,Vänsterpartiet,V
Marie Lindén,60,K,Vänsterpartiet,V
Petter Eriksson,41,M,Vänsterpartiet,V
Mona Granquist,48,K,Vänsterpartiet,V
Tania Bengtsson,43,K,Vänsterpartiet,V
Per-Åke Eriksson,70,M,Vänsterpartiet,V
Jamie Svensson,43,K,Vänsterpartiet,V
Björn Lindh,73,M,Vänsterpartiet,V
Carin Blennerhed,57,K,Vänsterpartiet,V
Ann Olsen,22,K,Vänsterpartiet,V
Lars-Ivar Starkenberg,74,M,Vänsterpartiet,V
Lena Måvholm,69,K,Vänsterpartiet,V
Jonny Wester,56,M,Vänsterpartiet,V
Ingela Svensson,67,K,Vänsterpartiet,V
Camilla Tilljander,53,K,Vänsterpartiet,V
Agnes Hultén,49,K,Vänsterpartiet,V
Kjell Andersson,79,M,Vänsterpartiet,V
Agneta Lindblom Hulthén,75,K,Vänsterpartiet,V
Peter Särnvald,74,M,Vänsterpartiet,V
Kajsa Lissel,52,K,Vänsterpartiet,V
Henrik Ström,54,M,Vänsterpartiet,V
Maria Johansson,44,K,Vänsterpartiet,V
Lothar Karnert,75,M,Vänsterpartiet,V
Lennart Svensson,70,M,Vänsterpartiet,V
Bo Wahlén,72,M,Vänsterpartiet,V
Ingmari Carlsson,68,K,Vänsterpartiet,V
Gökhan Doramar,35,M,Vänsterpartiet,V
Anita Gidén,62,K,Vänsterpartiet,V
Nour Ataia,25,K,Vänsterpartiet,V
Daniel Karlsson,36,M,Vänsterpartiet,V
Lisa Mogren,48,K,Vänsterpartiet,V
Hans Abbas,60,M,Vänsterpartiet,V
Mattias Jonsson,48,M,Arbetarepartiet-Socialdemokraterna,S
Saida Hussein,44,K,Arbetarepartiet-Socialdemokraterna,S
Hannes Hurtig,32,M,Arbetarepartiet-Socialdemokraterna,S
Ann-Christine Andersson,72,K,Arbetarepartiet-Socialdemokraterna,S
Roshan Yigit,30,M,Arbetarepartiet-Socialdemokraterna,S
Elsa Alm,22,K,Arbetarepartiet-Socialdemokraterna,S
Claes Söderling,55,M,Arbetarepartiet-Socialdemokraterna,S
Claudia Nistor-Pedrini,45,K,Arbetarepartiet-Socialdemokraterna,S
Jim Tellefsdal,30,M,Arbetarepartiet-Socialdemokraterna,S
Camilla Widman,44,K,Arbetarepartiet-Socialdemokraterna,S
Staffan Lindström,49,M,Arbetarepartiet-Socialdemokraterna,S
Amalia Rud Pedersen,29,K,Arbetarepartiet-Socialdemokraterna,S
Milyon Tekle-Haile,42,K,Arbetarepartiet-Socialdemokraterna,S
Johan Büser,39,M,Arbetarepartiet-Socialdemokraterna,S
Gunilla Carlsson,56,K,Arbetarepartiet-Socialdemokraterna,S
Dzenan Cisija,45,M,Arbetarepartiet-Socialdemokraterna,S
Mariya Voyvodova,44,K,Arbetarepartiet-Socialdemokraterna,S
Mikael Lindmark,40,M,Arbetarepartiet-Socialdemokraterna,S
Lena Malm,63,K,Arbetarepartiet-Socialdemokraterna,S
Karl-Henrik Rosberg,40,M,Arbetarepartiet-Socialdemokraterna,S
Dan Öjvind Gasstorp,78,M,Centerpartiet,C
Gunne Steen,64,M,Centerpartiet,C
Victor Rundström,27,M,Centerpartiet,C
Cecilia Elb,39,K,Centerpartiet,C
Staffan Albinsson,70,M,Centerpartiet,C
Maria Abrahamsson,47,K,Centerpartiet,C
Elise-Marianne Åberg,39,K,Centerpartiet,C
Emma Dolderer,31,K,Centerpartiet,C
Maria Granath,61,K,Centerpartiet,C
Christoffer Engkvist,34,M,Centerpartiet,C
Mikael Jäverby,34,M,Centerpartiet,C
David Bernardi,35,M,Centerpartiet,C
Hayder Tariq,37,M,Centerpartiet,C
Anna Belfrage,37,K,Centerpartiet,C
Kristoffer Filipsson,35,M,Centerpartiet,C
Marcus Fredberg,29,M,Centerpartiet,C
Helena Richardsson,55,K,Centerpartiet,C
Linda Mathiasson,48,K,Centerpartiet,C
Johan Radix,35,M,Centerpartiet,C
Didar Zuta,54,K,Centerpartiet,C
Max Törnqvist,33,M,Centerpartiet,C
Henrik Ragnevi,44,M,Centerpartiet,C
Robert Nordman,50,M,Centerpartiet,C
Christina Rogestam,78,K,Centerpartiet,C
Emmyly Bönfors,34,K,Centerpartiet,C
Jakob Olsson,27,M,Centerpartiet,C
Katarina Lundin,57,K,Centerpartiet,C
AnnaSara Perslow,48,K,Centerpartiet,C
Daniel Augustsson,29,M,Centerpartiet,C
Emina Music,34,K,Centerpartiet,C
Natalie Tegelberg,27,K,Kristdemokraterna,KD
Per Landgren,64,M,Kristdemokraterna,KD
Lina Lindh,22,K,Kristdemokraterna,KD
Martin Kurzwelly,65,M,Kristdemokraterna,KD
Pernilla Wendesten,53,K,Kristdemokraterna,KD
Rasmus Evinsnö,34,M,Kristdemokraterna,KD
Kristina Lallo,56,K,Kristdemokraterna,KD
Oscar Pihlblad,58,M,Kristdemokraterna,KD
Pia Hult,53,K,Kristdemokraterna,KD
Elisabet Lann,45,K,Kristdemokraterna,KD
David Ranstam Lega,48,M,Kristdemokraterna,KD
Sören Runsteen,61,M,Kristdemokraterna,KD
Erik Woxlin,33,M,Kristdemokraterna,KD
Anne Holmdahl,71,K,Kristdemokraterna,KD
Henrik Orrbeck,66,M,Kristdemokraterna,KD
Olof Jacobson,65,M,Kristdemokraterna,KD
Max Pelin,20,M,Kristdemokraterna,KD
Elias Fransson,20,M,Kristdemokraterna,KD
Göran Holmberg,72,M,Kristdemokraterna,KD
Thore Hagman,70,M,Kristdemokraterna,KD
Carl Svedberg,25,M,Kristdemokraterna,KD
Jörgen Knudtzon,76,M,Kristdemokraterna,KD
Samuel Bråse,29,M,Kristdemokraterna,KD
Birgitta Granquist,58,K,Liberalerna (tidigare Folkpartiet),L
Patrik Krantz,54,M,Liberalerna (tidigare Folkpartiet),L
Karl Vilén,32,M,Liberalerna (tidigare Folkpartiet),L
Peter Lintin-Wold,43,M,Liberalerna (tidigare Folkpartiet),L
Karin Veres,69,K,Liberalerna (tidigare Folkpartiet),L
Victoria Fridell,55,K,Liberalerna (tidigare Folkpartiet),L
Torbjörn S. Brandhill,29,M,Liberalerna (tidigare Folkpartiet),L
Lena Amorøe,49,K,Liberalerna (tidigare Folkpartiet),L
Henric Widén,53,M,Liberalerna (tidigare Folkpartiet),L
Martin Karlsson,48,M,Liberalerna (tidigare Folkpartiet),L
Peter Arnbert,63,M,Liberalerna (tidigare Folkpartiet),L
Svante Adolfsson,56,M,Liberalerna (tidigare Folkpartiet),L
Johan Solberg-Carsjö,32,M,Liberalerna (tidigare Folkpartiet),L
Lars Johansson,64,M,Liberalerna (tidigare Folkpartiet),L
Kerstin Keen,83,K,Liberalerna (tidigare Folkpartiet),L
Per Lind,73,M,Liberalerna (tidigare Folkpartiet),L
Johanna Hallman,33,K,Liberalerna (tidigare Folkpartiet),L
Richard Brodd,53,M,Liberalerna (tidigare Folkpartiet),L
Henrik von Mentzer,57,M,Liberalerna (tidigare Folkpartiet),L
Klara Holmin,30,K,Miljöpartiet de gröna,MP
Sophia Nilsson,45,K,Miljöpartiet de gröna,MP
Petra Elf,26,K,Miljöpartiet de gröna,MP
Bo Norrman,65,M,Miljöpartiet de gröna,MP
Astrid Eriksson Tropp,26,K,Miljöpartiet de gröna,MP
Johannes Olsson,32,M,Miljöpartiet de gröna,MP
Diana Ghinea,48,K,Miljöpartiet de gröna,MP
Leon McManus,22,M,Miljöpartiet de gröna,MP
Tanja Siladji Dahne,44,K,Miljöpartiet de gröna,MP
