NAMN,ÅLDER_PÅ_VALDAGEN,KÖN,PARTIBETECKNING,PARTIFÖRKORTNING
Ylva Samuelsson,60,K,Arbetarepartiet-Socialdemokraterna,S
Tobias Gyllensten,48,M,Arbetarepartiet-Socialdemokraterna,S
Ardita Berisha Cani,32,K,Arbetarepartiet-Socialdemokraterna,S
Nexhat Shabani,41,M,Arbetarepartiet-Socialdemokraterna,S
Jeanette Fredriksson,47,K,Arbetarepartiet-Socialdemokraterna,S
Ilan De Basso,52,M,Arbetarepartiet-Socialdemokraterna,S
Niklas Lindberg,30,M,Arbetarepartiet-Socialdemokraterna,S
Linda Danielsson,42,K,Arbetarepartiet-Socialdemokraterna,S
Khalid Poricanen,22,M,Arbetarepartiet-Socialdemokraterna,S
Agnetha Lantz,64,K,Arbetarepartiet-Socialdemokraterna,S
Noel Linder,23,M,Arbetarepartiet-Socialdemokraterna,S
Camilla Ymer,47,K,Arbetarepartiet-Socialdemokraterna,S
Henrik Tvarnö,48,M,Arbetarepartiet-Socialdemokraterna,S
Angelica Weber,31,K,Arbetarepartiet-Socialdemokraterna,S
Fredrik Johansson,51,M,Arbetarepartiet-Socialdemokraterna,S
Jeanette Nyberg,58,K,Arbetarepartiet-Socialdemokraterna,S
Johanna Haraldsson,42,K,Arbetarepartiet-Socialdemokraterna,S
Micael Larsson,35,M,Arbetarepartiet-Socialdemokraterna,S
Aiden Khadi,45,K,Arbetarepartiet-Socialdemokraterna,S
Marijo Corkovic,48,M,Arbetarepartiet-Socialdemokraterna,S
Sofie Tegvall,46,K,Arbetarepartiet-Socialdemokraterna,S
Vlada Dimoski,57,M,Arbetarepartiet-Socialdemokraterna,S
Nadira Kilim,59,K,Arbetarepartiet-Socialdemokraterna,S
Magnus Fagerholm,34,M,Arbetarepartiet-Socialdemokraterna,S
Karin Widerberg,68,K,Arbetarepartiet-Socialdemokraterna,S
Kari Parman,59,M,Arbetarepartiet-Socialdemokraterna,S
Liza Oswald,45,K,Arbetarepartiet-Socialdemokraterna,S
Niklas Sigvardsson,31,M,Arbetarepartiet-Socialdemokraterna,S
Azra Muranovic,35,K,Arbetarepartiet-Socialdemokraterna,S
Markus Kauppinen,49,M,Arbetarepartiet-Socialdemokraterna,S
Anna Carlsson,51,K,Arbetarepartiet-Socialdemokraterna,S
Thomas Gustavsson,46,M,Arbetarepartiet-Socialdemokraterna,S
Junie Ek Alexandersson,20,K,Arbetarepartiet-Socialdemokraterna,S
Göran Lindell,68,M,Centerpartiet,C
Jessica Hagård,52,K,Centerpartiet,C
Vilma Hugoson,23,K,Centerpartiet,C
John Algotsson,33,M,Centerpartiet,C
Annelie Hägg,48,K,Centerpartiet,C
Razvan Ionut Nichitelea,44,M,Centerpartiet,C
Mirjam Johansson,42,K,Centerpartiet,C
Daniel Berner,43,M,Centerpartiet,C
Emilie Walfridsson,42,K,Centerpartiet,C
Raymond Pettersson,60,M,Centerpartiet,C
Carin Levin,52,K,Centerpartiet,C
Lars-Ove Bengtsson,71,M,Centerpartiet,C
Carina Johansson,57,K,Centerpartiet,C
Åke Svensson,56,M,Centerpartiet,C
Henric Johnson,43,M,Centerpartiet,C
Leif Andersson,53,M,Centerpartiet,C
Lena Sumedrea,39,K,Centerpartiet,C
Gustav Malm,21,M,Centerpartiet,C
Carolina Hall,51,K,Centerpartiet,C
Erik Hjärtfors,50,M,Centerpartiet,C
Ida Philip,39,K,Centerpartiet,C
Irene Oskarsson,57,K,Kristdemokraterna,KD
Olof Klemets,20,M,Kristdemokraterna,KD
Emma Ewaldsson,40,K,Kristdemokraterna,KD
Isaac Ferguson,31,M,Kristdemokraterna,KD
Benjamin Petersson,23,M,Kristdemokraterna,KD
Laila Norss,61,K,Kristdemokraterna,KD
Thomas Ehn,64,M,Kristdemokraterna,KD
Per Högberg,57,M,Kristdemokraterna,KD
Hans Svensson,76,M,Kristdemokraterna,KD
Anders Pansell,72,M,Kristdemokraterna,KD
Karin Hultberg,57,K,Kristdemokraterna,KD
Andreas Sturesson,49,M,Kristdemokraterna,KD
Carl Rydé,33,M,Kristdemokraterna,KD
Sofia Svensson,31,K,Kristdemokraterna,KD
Jan Lenhammar,69,M,Kristdemokraterna,KD
Lennart Kastberg,59,M,Kristdemokraterna,KD
Monica Samuelsson,52,K,Kristdemokraterna,KD
Joseph Tornell,43,M,Kristdemokraterna,KD
Magnus Berglund,56,M,Kristdemokraterna,KD
Pernilla Mårtensson,54,K,Kristdemokraterna,KD
Thomas Axelsson,65,M,Kristdemokraterna,KD
Stefan Gustafsson,63,M,Kristdemokraterna,KD
Camilla Rinaldo Miller,53,K,Kristdemokraterna,KD
Jennifer Jingmark,19,K,Liberalerna (tidigare Folkpartiet),L
Andreea G. Vanciu,20,K,Liberalerna (tidigare Folkpartiet),L
Jonathan Freyschuss,36,M,Liberalerna (tidigare Folkpartiet),L
Ann-Marie Hedlund,70,K,Liberalerna (tidigare Folkpartiet),L
Jimmy Ekström,46,M,Liberalerna (tidigare Folkpartiet),L
Mari Hultin,57,K,Liberalerna (tidigare Folkpartiet),L
Ted Engdahl,50,M,Liberalerna (tidigare Folkpartiet),L
Agneta Svensson,71,K,Liberalerna (tidigare Folkpartiet),L
Algot Bjarnehall,20,M,Liberalerna (tidigare Folkpartiet),L
Karl-Magnus Svensson,73,M,Liberalerna (tidigare Folkpartiet),L
Ervisa Dani,27,K,Liberalerna (tidigare Folkpartiet),L
Henrik Karlstedt,38,M,Liberalerna (tidigare Folkpartiet),L
Inger Gustafsson,73,K,Liberalerna (tidigare Folkpartiet),L
Per Hansson,73,M,Liberalerna (tidigare Folkpartiet),L
Anders Rickman,55,M,Liberalerna (tidigare Folkpartiet),L
Anna Ekström,40,K,Liberalerna (tidigare Folkpartiet),L
Fredrik Sveningson,52,M,Liberalerna (tidigare Folkpartiet),L
Annica Nordberg,52,K,Liberalerna (tidigare Folkpartiet),L
